1788910860.390082 server started (40412): version 3.7c, socket /tmp/tmux-1000/default, protocol 8
1788910860.390092 on Linux 7.2.2-1-cachyos #1 SMP PREEMPT_DYNAMIC Fri, 28 Aug 2026 17:20:10 +0000
1788910860.390098 using libevent 2.1.13-stable poll
1788910860.390100 using ncurses 6.6 20251230
1788910860.390140 input_key_build: 0x200000005 (PasteStart) is \033[200~
1788910860.390143 input_key_build: 0x200000006 (PasteEnd) is \033[201~
1788910860.390145 input_key_build: 0x200000008 (F1) is \033OP
1788910860.390147 input_key_build: 0x200000009 (F2) is \033OQ
1788910860.390149 input_key_build: 0x20000000a (F3) is \033OR
1788910860.390150 input_key_build: 0x20000000b (F4) is \033OS
1788910860.390152 input_key_build: 0x20000000c (F5) is \033[15~
1788910860.390154 input_key_build: 0x20000000d (F6) is \033[17~
1788910860.390156 input_key_build: 0x20000000e (F7) is \033[18~
1788910860.390158 input_key_build: 0x20000000f (F8) is \033[19~
1788910860.390160 input_key_build: 0x200000010 (F9) is \033[20~
1788910860.390162 input_key_build: 0x200000011 (F10) is \033[21~
1788910860.390163 input_key_build: 0x200000012 (F11) is \033[23~
1788910860.390165 input_key_build: 0x200000013 (F12) is \033[24~
1788910860.390167 input_key_build: 0x200000014 (IC) is \033[2~
1788910860.390169 input_key_build: 0x200000015 (DC) is \033[3~
1788910860.390171 input_key_build: 0x200000016 (Home) is \033[1~
1788910860.390173 input_key_build: 0x200000017 (End) is \033[4~
1788910860.390174 input_key_build: 0x200000018 (NPage) is \033[6~
1788910860.390176 input_key_build: 0x200000019 (PPage) is \033[5~
1788910860.390178 input_key_build: 0x20000001a (BTab) is \033[Z
1788910860.390180 input_key_build: 0x20000001b (Up) is \033[A
1788910860.390182 input_key_build: 0x20000001c (Down) is \033[B
1788910860.390184 input_key_build: 0x20000001d (Left) is \033[D
1788910860.390185 input_key_build: 0x20000001e (Right) is \033[C
1788910860.390188 input_key_build: 0x20000001f (KP/) is /
1788910860.390190 input_key_build: 0x200000020 (KP*) is *
1788910860.390192 input_key_build: 0x200000021 (KP-) is -
1788910860.390193 input_key_build: 0x200000022 (KP7) is 7
1788910860.390195 input_key_build: 0x200000023 (KP8) is 8
1788910860.390196 input_key_build: 0x200000024 (KP9) is 9
1788910860.390198 input_key_build: 0x200000025 (KP+) is +
1788910860.390199 input_key_build: 0x200000026 (KP4) is 4
1788910860.390200 input_key_build: 0x200000027 (KP5) is 5
1788910860.390202 input_key_build: 0x200000028 (KP6) is 6
1788910860.390203 input_key_build: 0x200000029 (KP1) is 1
1788910860.390205 input_key_build: 0x20000002a (KP2) is 2
1788910860.390207 input_key_build: 0x20000002b (KP3) is 3
1788910860.390208 input_key_build: 0x20000002c (KPEnter) is \n
1788910860.390210 input_key_build: 0x20000002d (KP0) is 0
1788910860.390211 input_key_build: 0x20000002e (KP.) is .
1788910860.390213 input_key_build: 0x200200000008 (C-F1) is \033[1;5P
1788910860.390214 input_key_build: 0x200200000009 (C-F2) is \033[1;5Q
1788910860.390216 input_key_build: 0x20020000000a (C-F3) is \033[1;5R
1788910860.390218 input_key_build: 0x20020000000b (C-F4) is \033[1;5S
1788910860.390219 input_key_build: 0x20020000000c (C-F5) is \033[15;5~
1788910860.390221 input_key_build: 0x20020000000d (C-F6) is \033[17;5~
1788910860.390222 input_key_build: 0x20020000000e (C-F7) is \033[18;5~
1788910860.390224 input_key_build: 0x20020000000f (C-F8) is \033[19;5~
1788910860.390225 input_key_build: 0x200200000010 (C-F9) is \033[20;5~
1788910860.390227 input_key_build: 0x200200000011 (C-F10) is \033[21;5~
1788910860.390228 input_key_build: 0x200200000012 (C-F11) is \033[23;5~
1788910860.390230 input_key_build: 0x200200000013 (C-F12) is \033[24;5~
1788910860.390231 input_key_build: 0x200200000014 (C-IC) is \033[2;5~
1788910860.390233 input_key_build: 0x200200000015 (C-DC) is \033[3;5~
1788910860.390235 input_key_build: 0x200200000016 (C-Home) is \033[1;5H
1788910860.390236 input_key_build: 0x200200000017 (C-End) is \033[1;5F
1788910860.390237 input_key_build: 0x200200000018 (C-NPage) is \033[6;5~
1788910860.390239 input_key_build: 0x200200000019 (C-PPage) is \033[5;5~
1788910860.390243 input_key_build: 0x20020000001b (C-Up) is \033[1;5A
1788910860.390246 input_key_build: 0x20020000001c (C-Down) is \033[1;5B
1788910860.390248 input_key_build: 0x20020000001d (C-Left) is \033[1;5D
1788910860.390249 input_key_build: 0x20020000001e (C-Right) is \033[1;5C
1788910860.390251 input_key_build: 0x400200000008 (S-F1) is \033[1;2P
